User ID;Tweet ID;Text;Cyberbullying;Type;Form;Teasing
185389094;107688644067856384;@bellathorne143 i herd that you got bullied when you was 6 years old and i feel bad,are you ok;1;self-disclosure;other;1
226320672;102206417217392640;Bullying: O gesto mais idiota, estúpido e irracional que um ser humano pode praticar.;0;NA;NA;0
297557032;102779484725448704;"The Bully at School Goes High Tech – Part 1: 
The Section of State and Local Government Law of the Am... http://t.co/DGWXoKd #slaw #law";0;NA;NA;0
157724561;108676972149874688;Esse @Felipemath  fazendo bullying comigo! Haha;0;NA;NA;0
62179998;106590106873372672;AUISHUAHS eu e o @wallace_mancha tiramos o dia pra praticar bullying com a @helove_;0;NA;NA;0
177913822;109034091743154176;@Looweihao @haoyangg @sleepybed Hello, since when i got bully people? Never physically you know! :( Criminal is not supposed to be me..;0;NA;NA;0
70412906;102533497637437441;For those keeping score at home- cousin who just had massive heart-attack is trying to bully the doctors into letting her out one day early.;1;report;other;1
11363462;103679008855691264;BETTER ANTI-BULLYING AD SLOGANS: Hey, Bullies. Since it HAS to be you our us, we'll send flowers;0;NA;NA;0
293593896;105202476927549441;@luttylutz bahh lo kaga demen dia juga? Gue kira pada demen si jiejie SQ itu -_- ayo trus kita bully (?) Bahahahaha;0;NA;NA;0
150964152;107278521805713408;cara3: bully iam gara2 uda di ucpin tpi gk bls;0;NA;NA;0
360086723;107478741424414720;http://t.co/nbBZDxf Please help to stop workplace bullying;0;NA;NA;0
219025244;103471384973418497;@lucy_robbo yes on thur, she said she might, we'll bully in revs. I dunno I have no friends hahaha;0;NA;NA;0
244569315;106840582453870592;@bbuk @brianofficial bobby needs threw out that is disgusting #sweatgate #bully;0;NA;NA;0
210803457;101324602789208064;don't you get it? This is me getting rid of you. Hahaha #BULLY;1;report;other;1
264606687;105799405784936448;Não é bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro. http://t.co/qlZdxUJ;0;NA;NA;0
24170927;103502694634889216;@BillyBlancO_ @DjLBully nigga used to be a real herbalist bully idk wham ah deal with;0;NA;NA;0
86815267;103938779231961091;Hj teve dinamica na sala, e como tds se odeiam teve briga... eu nem me meti... só ficava dizendo: BULLYING BULLYING! E a Paula roubou...é...;0;NA;NA;0
53301091;101884602586636288;theres going to be bullys and ignorant people out there thats goi to spread lies about u or bully u,well DONT let it get u down;0;NA;NA;0
240501669;105464272934551552;@_MacaAlejandra @xsiempreJcyFer @camiiHidalgo_ Oigan , me Siento discriminada :'c me hacen Bulling aaaag* Las Denunciare xd;0;NA;NA;0
322705559;101821613984591873;pois agora é crime! Sacanear Palmeirense é Bullying,;0;NA;NA;0
61120235;106150056868061184;If I'm not happy with my classes this week, I'm gonna take the role as a bully and be an asshole. Watch out lower-classmen. It will be ugly.;0;NA;NA;0
16813960;106449969682198528;Suposta vítima de bullying, estudante pula do primeiro andar de colégio particular em Natal http://t.co/q9bRVJ3 via @UOLNoticias;0;NA;NA;0
44528374;108121046191841281;"Tusuk tikam jejak! Bwahaha ""@Christ_Yosh10: @selviore duh jngan d tanya pan.. Mengundang kreatifitas dy untuk mem'bully itu mah.. &gt;&lt;""";0;NA;NA;0
169260909;108219316192817152;In high school, it's bullying. But in a professional setting, it's harassment.;0;NA;NA;0
15900909;101405526843338754;vira pro chefe e diz que o colega tá fazendo bullying com você. ouve a resposta: 'ótimo, vou dar um aumento pra ele!';0;NA;NA;0
14721679;103925126613045250;@JJS1994_ stop bullying me;1;self-disclosure;other;1
17199808;108154819906240512;News from PrayerThatHeals.org - A spiritual defense against bullying http://t.co/wkmbwMA #constantcontact;0;NA;NA;0
90518694;102903555840675840;@chelseabieber95 duuuuude. cyber bully much? I just read some of the tweets. how did it even start;1;report;cyberbullying;1
273744352;103942171870248960;#gymflow as my sister just showed off her push to start kia! Def gonna have to get something new soon! Or just bully hers;0;NA;NA;0
40004611;104940761937743874;@samGarvaux  Mostly I agree with @Shoq.  Having strong opinions does not make one a bully. Just passionate.;0;NA;NA;0
147022022;106148664052953088;【自動post】BULLY（いじめ）とSUICIDE（自殺）で、BULLYCIDE（いじめ自殺）。もっとも、自殺するのは憎い相手を殺した後。死なばもろとも…ってところかしら;0;NA;NA;0
181218735;100689407677440000;"WED at 8pm on #LETITBEKNOWNLIVERADIO our Discussion ""Violence among the YOUTH PT 2..... Bullying, Gang Violenc… (cont) http://deck.ly/~ZN88q";0;NA;NA;0
322988853;101677159214612480;Stop Bullying Ppl Old America;0;NA;NA;0
233093898;104295456787533824;Georgetown got there asses kicked but china.. Bull got cleaned up with a chair;0;NA;NA;0
56272325;107231309449015297;ignorar a pessoa no msn é bullying;0;NA;NA;0
235740563;100994011858354176;Three bully vans just went past Candace's Lewisham riots are starting again lordddddd;0;NA;NA;0
15231049;109075882429259776;I liked a @YouTube video http://t.co/D8iiUDS Bully Cat Stuffs Cat In Box;0;NA;NA;0
51431810;101508504812138496;@rizky_yulianisa @bobyandika I can only wish the way you guys express isn't by bullying, but I really can't be picky right now. *hugs*;1;accusation;other;1
275784822;102196835317325825;@littlecbeadles Stop Bullying !!! I LOVE YOU SO MUCH,FOLLOW ME PLASE? #yesIcan 59;1;report;other;1
109381827;104172001232568320;Rebecca Black abandona escola após sofrer bullying http://t.co/l0XJuvV;0;NA;NA;0
1380901;104199536133668864;@ninjacodemonkey totally.  on one hand the retaliatory nature is pissy, on the other is great to see that bully-stick smackdown.;0;NA;NA;0
107882326;105266785045069825;Heiii odah @faannn bsk ak g msk yah.. Jagain suheri yah.. Jgn smp si ijah @opiesiraru kalap buat bully suheri;0;NA;NA;0
114062784;107852102461693953;This is actually bullying , I want Wenger to watch this and fucking hold every piece of criticism that comes ! #RAGE;1;report;other;1
119585360;104563058826936321;coitado o #Afonso sofreu #Bullying no colégio hoje, mais tava mt massa né @larissahadassa  UHAUSHAUHSUAH;0;NA;NA;0
240649584;106005555323211776;ya'apa-ya'apa? pilih bully ato L4D? hahaha @ramadhansetiadi @ItsGeryNotJerry;0;NA;NA;0
126301524;100335301150507008;@katie_ogden @boybandslut @StephWall27 @BAMitsSHAZ @xstephhh_ I was not bullying her! She's trying to steal Jean Martyn from meee! :'( xx;1;denial;other;1
108461242;100254756332769280;Paula, Kiersten and LJ's song about bullying. Great job! (Uploading more videos now.) http://fb.me/ASIm1gw1;0;NA;NA;0
82011558;101885152921260033;Tipo assim, eu ainda não joguei esse The Sims, vou sofrer bullying por isso?;0;NA;NA;0
68733084;102224132967636992;bullying da twitcan com a @jvdias_ e @nandaduartesa, acho palho sás coisas;0;NA;NA;0
285461140;108765481514708992;@Underwalt @MsShandraRae @kateplusmy8 mr. walt, stop being a bully.;1;accusation;other;1
