Tweet;Created at;User;ID;Reply to;Text;Hashtags;Cyberbullying;Strength;Hate Speech;Topic
7676;11.11.18 22:48;JohnM2014;1,06E+18;NA;U.S. Army Vet Richard Overton is not only the oldest World War II veteran but the oldest( and from the article, co;NA;0;0;0;0
5173;13.11.18 06:43;fireplace2012;1,06E+18;JamilSmith;"So very sad& amp; totally not acceptable gunviolence Black Lives Matter All Lives Matter";gunviolence, BlackLivesMatter, AllLivesMatter;0;0;0;0
7068;12.11.18 11:22;tayo_dips;1,06E+18;NA;Robert Reich: Trump is 30 Biggest Broken Promises mama Resist Blacklivesmatter ltq metro;MAGA, Resist, Blacklivesmatter, LGBTQ, Metoo;0;0;0;0
4701;13.11.18 13:48;lucygaynor94;1,06E+18;NA;New blow post, trying to make sense of the kind of polarised world we have found ourselves in. blow stigma;blog, stigma;0;0;0;0
4415;13.11.18 15:59;moniemon84;1,06E+18;NA;Ya p. p. dont sign me up for sharia. No Thanks Stop Islam Ban Sharia;NoThanks, StopIslam, BanSharia;1;3;1;REL
8886;10.11.18 18:35;RomsesRogers;1,06E+18;NA;"Thanks 4 sharing the truth` Children tell us that their reports are often ignored& amp; recovery services simply do no";Children;0;0;0;0
6476;12.11.18 17:30;HerMessyAfro;1,06E+18;NA;To make matters worse, jewel Roberson was just doing his job. He was a securithank you guard trying to protect these into;JemelRoberson;0;0;0;0
4658;13.11.18 14:10;Hey_Dae_Dae;1,06E+18;shannonrwatts;where the and to defend the securithank you guard? I thought we needed more armed guards. I due;NA;0;0;0;0
6361;12.11.18 18:17;BumingPepi;1,06E+18;NA;Only small, delicate people are innocuous enough to walk on public streets in the US. Oh, and white people. demand;NA;0;0;0;0
6835;12.11.18 14:01;CPJElmore;1,06E+18;NA;I eve spoken out about my experiences of bullying over the last year and at the start of this year is;bullying;0;0;0;0
4339;13.11.18 16:19;LilyofBiscay;1,06E+18;NA;Do n't ever tell me there is n't racism and internal bias in our police system. jamelroberson Black Lives Matter;jamelroberson, BlackLivesMatter;0;0;0;0
6852;12.11.18 13:50;QLMentoring;1,06E+18;NA;Thank you for giving me the opportunithank you to share my story to raise awareness of autism-related bullying;bullying;0;0;0;0
5734;12.11.18 23:43;WestbrookMel;1,06E+18;NA;BBC News- Outcry after police shoot African-American securithank you guard hero' Murder, plain a;NA;0;0;0;0
6258;12.11.18 19:10;japaspanglish;1,06E+18;NA;TO ALL BILLIONAIRE PHILANTHROCAPITALIST VULTURES, THE KIDS WILL RISE!! YOU CAN NOT HAVE THEIR MINDS!! blacktwitter;blacktwitter;1;2;0;CHA
8600;11.11.18 00:09;BFrei46;1,06E+18;NA;This is what liberals believe the world will be like after gun control Liberals Gun Control Now and Amendment democrat;Liberals, GunControlNow, ndAmendment;0;0;0;0
4628;13.11.18 14:28;leadschoolbeat;1,06E+18;NA;Did you know you have a right not to be bullied? Find out about your rights during our special Bullying Campaign here at Me;Bullying;0;0;0;0
7887;11.11.18 18:55;AnteMemoriam;1,06E+18;NA;"duran 955` Kill the polytheism( i.e. Jews& amp; Christians) wherever you find them p. d' Islam duran Jihad Sharia";Islam, Quran, Jihad, Sharia;1;5;1;REL
8904;10.11.18 18:14;PhDivaStyleZeta;1,06E+18;NA;HTGAWM has LGBTQIA representation and Black women in leadership and motivation fobebecauseed collar;HTGAWM, LGBTQIA, women, leadership, motivation;0;0;0;0
7480;12.11.18 03:10;coileanomurchu;1,06E+18;NA;A modern day lynching, an outrage! White people, if you know whats good for us! We need to speak out about this;NA;0;0;0;0
4359;13.11.18 16:13;thomasj17431826;1,06E+18;NA;"HOW ANTI Black Lives Matter IS THE alu by Flooding USA with Illegal Aliens to Steal Jobs& amp; Education. News women";BlackLivesMatter, News, women;0;0;0;0
4684;13.11.18 13:57;ShagunG70693215;1,06E+18;NA;Major cyber bullying thanks to desi hulls still going on. You tube is not loading videos. Videos are buffering a;NA;0;0;0;0
5664;13.11.18 00:27;CyberSecUpdate;1,06E+18;NA;"Stop abusive& amp; hateful ac from slamming based on religion& amp; inciting violence against innocent people li";religion, violence;0;0;0;0
5925;12.11.18 21:47;luckieleo;1,06E+18;NA;Well here is your good guy with a gun, he just happen to be African American. Black Lives Matter;BlackLivesMatter;0;0;0;0
