﻿﻿a beam of light descended from the heavens a loud voice said fuck her right in the pussy many lives were changed that day;J,N,N ,name,V,N,J,N,V,J ,sw ,n,J,N ,sw,J,N,V,N ,name;7,3,5,0,0,0,0,0,2,2,1;1
so all my real fans who can wait and not want me to put out trash like other rappers signedtothestreets2 go;J,N,V ,name,V,V,V,IN,N,V,V;2,6,1,0,0,0,0,0,0,1,0;2
I ca n't take yo bitch if I ca n't see yo bitch p.;P,MD,R,V,J,N ,sw ,n,P,MD,R,V ,name,J,N ,sw ,n,N,.;3,2,2,2,2,0,0,0,2,1,2;1
They say one man is trash is the next man is treasure. Where one finds pain the next might find pleasure.;P,V ,name,CD,N ,name,N,J,N ,name,N,.,WRB,CD,V,N ,name ,n,J,MD,V,N,.;6,3,2,1,0,0,0,0,0,4,1;2
You ever seen a fine Eskimo bitch? I mm in goole images looking them up now.;P,R,V ,name,J ,name,N,N ,sw ,n,QUE,P,V,J,N,V,.;3,3,2,2,1,0,1,0,1,2,1;1
"& 8220; Michael pined hides pine tar p. on his neck fact that the Yankees cheat& 128077;& 128077;& 128077; Go Red Sox!! Boston";CC,CD,:,N ,name,V,N,J ,name,N,N,N,N,N,N,CC,CD,:,CC,CD,:,CC,CD,:,N,N ,name,N,EXCL,EXCL,N;12,1,1,0,0,2,0,0,0,3,0;2
My moss a worse bitch than me like ugh I ca n't stand that hoe.;P ,name,N ,name,R,N ,sw ,n,IN,IN,P,MD,R,V,N,.;3,1,0,2,2,0,0,0,1,2,1;1
This nigra on the train treating his bitch over the phone laughing my ass off;DT,J,N,V,N ,sw ,n,N,V,N ,sw ,n;4,2,1,0,0,0,0,0,2,0,2;1
"Only Blood Can Satisfy The Hungry Flames Of R& 8217; hollow, Charlie Brown";R,N ,name,N ,name,N,DT,N,N,IN,N,CC,CD,:,N,,,N ,name,N ,name;9,0,0,0,1,0,0,0,0,4,0;2
I mm just upset they got faggots on this show;P,V,J,V,N ,n,V;1,3,1,1,0,0,0,0,0,0,1;0
"ca n't decide if i should wear my yellow rain boots for the purposes of being all black& amp; yellow errrrything p.";MD,R,V,R,J,N,J,N,J ,name,CC,N,:,CC,V,N,.;4,2,3,0,2,0,0,0,0,1,0;2
I mm addicted to IG, Twitter just my side bitch;P,V,J,N ,CL,,,N,N,N ,sw ,n;4,1,1,1,0,0,0,1,1,0,1;1
"& 8220; est got some ugly hoes yeah, and them Leon G. Students ai n't making no better. 99.9 of em fully& 8221;& 128128;& 128128;";CC,CD,:,J,V,R ,n,J ,name,UH,,,N ,name,N,N,V,R,V,R,.,CD,N ,name,R,CC,CD,:,CC,CD,:,CC,CD,:;4,3,2,0,4,0,0,0,0,3,1;1
pussy.;N ,sw,.;1,0,0,0,0,0,0,0,1,0,0;1
Biden was a winner last night? Yea right like Charlie Sheen Really was a a winner too p.. winning laughing out loud;N,N,J,N,QUE,UH,N,IN,N ,name,N,N,P,N,V,V,N;9,2,1,1,0,0,1,0,0,1,0;2
Tupac could fuck any bitch in the world in 1996 and nights on here crying about a picture he took FOR BITCHES;N,MD,V ,sw ,n,V ,sw ,n,N,CD,N,V,N,V,IN ,CL,N ,CL ,sw ,n;5,4,0,0,0,0,0,2,3,0,3;1
I would n't know because i do n't fuck with these hoes;P,MD,R,V,R,V ,sw ,n,N ,name;1,2,0,1,2,0,0,0,1,1,1;1
"& 128557;& 128557;& 8220; all be tweaking wit that we shit. Ai n't no way in hellyoulike that bitch every single day& 8221;";CC,CD,:,CC,CD,:,CC,CD,:,V,N ,name,N ,sw ,n,.,V,R,N ,name,J,N ,sw ,n,DT,J,N ,name,CC,CD,:;5,2,2,0,1,0,0,0,2,3,2;1
Boats n hoes boats n hoes got ta have me my boats n hoes!!!!!!!;N,V,N ,name,N,R,N ,name,V,J,N,V,N ,name,EXCL,EXCL,EXCL,EXCL,EXCL,EXCL,EXCL;6,3,1,0,1,7,0,0,0,3,0;1
bitch please;N ,sw ,n,N;2,0,0,0,0,0,0,0,1,0,1;1
This cowboys an redskins game was a hell of a game;DT,V,V,N,N ,sw ,n,N;3,2,0,0,0,0,0,0,1,0,1;2
Reds fan snags foul ball, gets shoved by player, flips bird, becomes True American Hero:;N,N ,name,N,V,N ,name,,,V,V,N ,name,,,V,N ,name,,,V,J ,name,J,N,:;7,5,2,0,0,0,0,0,0,5,0;2
cheese crackers lacking;J,N,V;1,1,1,0,0,0,0,0,0,0,0;2
thank coupe a bitch makeyoutake her on 10 dates, then she giveyouda pussy and the shit weak. damn.;N,N,N ,sw ,n,V,CD,N,,,J,N ,sw,V ,sw ,n,J,.,N ,sw,.;6,2,2,0,0,0,0,0,4,0,2;1
Is everyone on the redskins lathered in oil? What the fuck?;V,N,N,V,N,QUE,WP,V ,sw ,n,QUE;3,3,0,0,0,0,2,0,1,0,1;1
"ahem, dowell Jones, life Jennings, genuine, Charlie Wilson, Dru Hill, NEXT, jodami, tyres and etc p. p. bring THAT thank coupe& 8230;";N,,,N ,name,N ,name,,,N,N ,name,,,N,,,N ,name,N ,name,,,N ,name,N ,name,,,J ,CL,,,N,,,V,FW,J,N,N,IN ,CL,V,N,CC,CD,:;14,2,2,0,0,0,0,2,0,7,0;2
Notice I did n't tweet` batches d' p.. bitch is different from bitch p.. My logic p. And it weeks p.;N,P,R,V,N,P,N,N ,sw ,n,J,N ,sw ,n,N,N ,name,N,N,CC,N ,name,N,.;11,1,1,2,1,0,0,0,2,2,2;1
"If I text` You up? d' that means is it safe for me to come and eat the pussy until I reach cream filling?& gt;& 128563;.& 8230;";IN,P,V,P,QUE,'',V ,name,J,J,N,N ,sw,P,V,N,N,QUE,CC,N,:,CC,CD,:,.,CC,CD,:;5,3,2,3,0,0,2,0,1,1,0;1
