idk;i don't know
idc;i don't care
idm;i don't mind
idr;i don't remember
rly;really
rlly ;really
sme;same
lol;laughing out loud
lmao;laughing my ass off
wtf;what the fuck
wth;what the heck
lmfao;laughing my fucking ass off
pls;please
plz;please
yea;yes
bf;boyfriend
gf;girlfriend
smh;shaking my head
cos;because
cuz;because
cus;because
cause;because
omg;oh my god
oml;oh my lord
pic;picture
wyd;what you doing
bro;brother
nvm;never mind
tbh;to be honest
m8;mate
prob;probably
probs;probably
lysm;love you so much
ppl;people
bff;best friends forever
dafuq;what the fuck
gnight;goodnight
dunno;don't know
 u ;you
ty;thank you
;<null>
;
;
;
;
;
;
;
;
;
;
